user_id,signup_date,acquisition_channel,device_type,country,age_group,subscription_type
197,2024-01-26,Google Ads,Android,USA,18-24,Free
198,2024-08-11,Instagram,Android,UK,45+,Free
199,2025-02-25,Instagram,iOS,India,45+,Free
200,2025-11-24,YouTube,Android,USA,35-44,Premium
201,2024-11-16,YouTube,Android,Canada,25-34,Free
202,2025-05-27,Instagram,Android,USA,18-24,Free
203,2024-09-05,Referral,iOS,USA,18-24,Free
204,2024-09-09,Instagram,Web,USA,18-24,Free
205,2024-01-08,Organic,Android,India,35-44,Free
206,2025-03-15,Referral,Web,UK,25-34,Free
207,2025-10-06,Instagram,Android,Canada,35-44,Premium
208,2025-12-24,Referral,Android,India,35-44,Free
209,2025-12-07,Google Ads,Android,USA,18-24,Premium
210,2025-07-09,Instagram,iOS,Canada,18-24,Free
211,2024-07-25,Organic,iOS,India,45+,Free
212,2025-09-09,Organic,Web,India,25-34,Free
213,2025-02-20,Referral,iOS,Canada,25-34,Free
214,2024-10-29,Referral,Android,UK,35-44,Free
215,2025-07-23,Instagram,iOS,Canada,35-44,Free
216,2025-05-26,YouTube,Android,USA,45+,Premium
217,2025-04-02,Referral,Android,India,18-24,Free
218,2025-11-04,YouTube,Android,Canada,35-44,Premium
219,2024-06-01,Google Ads,Android,USA,25-34,Free
220,2024-10-29,Organic,iOS,USA,18-24,Free
221,2024-08-03,Google Ads,Android,UK,25-34,Free
222,2024-07-01,Organic,Android,USA,18-24,Free
223,2025-10-14,Google Ads,iOS,Canada,45+,Free
224,2024-07-25,Referral,iOS,USA,25-34,Free
225,2024-12-17,YouTube,iOS,UK,25-34,Premium
226,2025-10-20,YouTube,Android,Canada,45+,Free
227,2025-05-09,YouTube,iOS,Canada,18-24,Free
228,2025-08-19,Referral,Android,India,45+,Free
229,2025-12-10,YouTube,Android,India,45+,Free
230,2025-10-05,Referral,Android,UK,18-24,Free
231,2025-03-04,YouTube,iOS,UK,45+,Premium
232,2024-04-06,Organic,Web,UK,35-44,Free
233,2024-06-28,Organic,Web,UK,35-44,Premium
234,2025-07-15,Google Ads,iOS,Canada,25-34,Premium
235,2025-07-01,Google Ads,Android,UK,18-24,Free
236,2024-09-26,YouTube,Android,UK,25-34,Premium
237,2025-12-20,Organic,Android,Canada,25-34,Premium
238,2025-03-08,Google Ads,Android,UK,35-44,Free
239,2024-08-15,Instagram,iOS,Canada,25-34,Free
240,2025-03-15,Organic,Android,India,45+,Free
241,2025-10-20,Google Ads,Android,USA,45+,Free
242,2025-02-01,YouTube,Android,India,45+,Free
243,2025-05-08,Organic,Web,USA,35-44,Free
244,2024-06-10,YouTube,Android,UK,18-24,Free
245,2024-03-18,Google Ads,iOS,India,45+,Free
246,2024-11-15,Instagram,Web,Canada,18-24,Premium
247,2025-02-19,Organic,Android,Canada,45+,Free
248,2024-07-10,Instagram,iOS,USA,25-34,Free
249,2024-10-23,Instagram,Android,India,45+,Free
250,2025-11-26,Google Ads,Android,India,35-44,Free
251,2024-07-02,YouTube,Android,USA,18-24,Free
252,2024-05-12,YouTube,Android,USA,35-44,Free
253,2025-08-09,YouTube,iOS,USA,25-34,Free
254,2024-12-12,Google Ads,Web,UK,25-34,Free
255,2024-10-08,Organic,iOS,USA,45+,Free
256,2024-06-07,Organic,Web,India,25-34,Free
257,2024-04-20,Referral,iOS,UK,35-44,Free
258,2024-01-23,Instagram,Android,India,18-24,Premium
259,2025-04-18,Referral,Web,UK,35-44,Free
260,2025-12-08,YouTube,Android,India,35-44,Free
261,2025-10-22,Google Ads,iOS,UK,45+,Free
262,2024-06-09,Organic,Android,UK,25-34,Free
263,2024-09-06,Referral,Android,UK,45+,Free
264,2025-10-03,Organic,iOS,Canada,18-24,Free
265,2025-09-17,Instagram,Android,UK,18-24,Free
266,2025-08-04,YouTube,Android,Canada,35-44,Premium
267,2024-11-03,Instagram,Android,USA,25-34,Free
268,2024-03-04,Organic,Android,USA,18-24,Free
269,2025-06-17,YouTube,Android,India,35-44,Free
270,2024-11-11,Referral,iOS,Canada,45+,Free
271,2024-03-04,Referral,Android,UK,18-24,Free
272,2024-04-12,Instagram,iOS,UK,35-44,Premium
273,2025-04-10,Organic,Web,India,25-34,Free
274,2024-08-12,Instagram,Android,USA,35-44,Free
275,2025-07-17,Referral,iOS,UK,25-34,Free
276,2025-05-19,YouTube,iOS,India,25-34,Premium
277,2024-02-09,YouTube,Android,USA,25-34,Premium
278,2025-06-05,Referral,iOS,UK,18-24,Free
279,2025-04-04,YouTube,Android,Canada,35-44,Free
280,2025-04-02,Instagram,Web,UK,25-34,Free
281,2025-11-01,Referral,iOS,Canada,45+,Free
282,2025-01-02,Organic,Android,UK,25-34,Free
283,2025-09-11,Instagram,Android,Canada,35-44,Free
284,2024-10-19,Instagram,Web,USA,18-24,Free
285,2025-06-18,YouTube,Web,India,25-34,Free
286,2025-11-13,Instagram,iOS,India,25-34,Premium
287,2025-08-28,YouTube,Android,Canada,45+,Free
288,2025-05-04,Google Ads,Android,UK,18-24,Free
289,2025-09-19,Organic,Android,USA,25-34,Free
290,2024-07-15,YouTube,Android,UK,18-24,Free
291,2024-06-09,Referral,Web,UK,18-24,Free
292,2024-12-12,Referral,Web,Canada,45+,Free
293,2024-03-09,YouTube,iOS,India,18-24,Premium
294,2025-07-24,Instagram,Android,UK,18-24,Free
295,2025-12-22,YouTube,iOS,Canada,45+,Free
296,2024-05-16,Organic,Web,UK,35-44,Free
297,2024-10-05,Organic,Android,UK,18-24,Free
298,2025-07-14,Instagram,Android,India,35-44,Free
299,2024-07-23,Referral,Android,Canada,45+,Free
300,2025-06-01,Referral,iOS,UK,18-24,Free
301,2024-01-16,Referral,Android,India,25-34,Free
302,2025-12-27,Google Ads,Android,UK,35-44,Free
303,2025-03-25,Referral,iOS,Canada,45+,Free
304,2025-12-19,Organic,Android,UK,45+,Free
305,2025-09-05,Instagram,Android,India,45+,Free
306,2025-02-21,YouTube,Android,India,25-34,Free
307,2024-11-24,Organic,Android,Canada,25-34,Free
308,2025-01-22,Google Ads,iOS,USA,25-34,Free
309,2025-05-25,YouTube,Android,Canada,18-24,Free
310,2025-11-20,Google Ads,Android,UK,25-34,Free
311,2024-07-20,Instagram,iOS,UK,35-44,Free
312,2025-08-24,YouTube,iOS,USA,35-44,Free
313,2025-07-29,Instagram,Android,Canada,18-24,Premium
314,2025-06-19,Referral,Android,USA,25-34,Free
315,2024-03-22,Referral,Android,UK,18-24,Premium
316,2025-09-30,Instagram,iOS,UK,35-44,Free
317,2024-05-27,Instagram,Android,USA,25-34,Free
318,2025-05-14,YouTube,iOS,Canada,45+,Free
319,2024-07-09,Instagram,iOS,UK,35-44,Free
320,2024-06-19,Referral,iOS,Canada,35-44,Premium
321,2024-10-31,Instagram,Android,UK,25-34,Free
322,2024-12-13,Google Ads,Android,USA,25-34,Premium
323,2024-05-29,Organic,Android,India,18-24,Free
324,2024-04-22,Organic,Android,UK,35-44,Free
325,2025-01-26,YouTube,iOS,USA,45+,Premium
326,2025-06-12,Referral,iOS,UK,35-44,Free
327,2025-05-16,Google Ads,iOS,UK,35-44,Free
328,2025-07-03,Referral,Android,Canada,25-34,Free
329,2025-07-18,Instagram,Android,Canada,45+,Free
330,2024-07-25,Google Ads,iOS,India,45+,Free
331,2024-11-10,Referral,iOS,USA,45+,Premium
332,2025-12-22,Referral,iOS,UK,25-34,Free
333,2024-08-25,Organic,iOS,Canada,25-34,Free
334,2025-12-23,Instagram,Android,UK,45+,Free
335,2025-06-15,YouTube,Android,USA,25-34,Free
336,2024-09-02,YouTube,Android,USA,25-34,Free
337,2024-02-21,Organic,Android,UK,45+,Free
338,2024-06-19,Google Ads,iOS,UK,35-44,Free
339,2025-06-18,YouTube,iOS,Canada,18-24,Premium
340,2025-07-05,YouTube,Web,Canada,45+,Free
341,2024-02-01,Referral,iOS,Canada,45+,Free
342,2024-11-15,Instagram,Android,USA,18-24,Free
343,2025-08-13,YouTube,Web,USA,25-34,Free
344,2024-01-05,YouTube,Android,UK,35-44,Premium
345,2025-03-27,Google Ads,Web,Canada,45+,Free
346,2024-10-24,Google Ads,Web,Canada,45+,Free
347,2024-05-09,Google Ads,Web,India,45+,Premium
348,2025-02-16,Instagram,iOS,UK,35-44,Free
349,2024-06-04,YouTube,iOS,USA,25-34,Free
350,2024-09-08,Referral,iOS,Canada,35-44,Free
351,2025-01-12,Organic,iOS,Canada,25-34,Premium
352,2025-06-16,Instagram,Android,Canada,45+,Free
353,2025-05-29,Referral,Web,USA,45+,Free
354,2025-04-04,YouTube,Android,USA,45+,Free
355,2025-10-12,Instagram,Android,India,45+,Premium
356,2025-12-02,Referral,Android,India,18-24,Free
357,2025-04-24,Referral,iOS,Canada,45+,Free
358,2025-07-10,Instagram,Web,USA,25-34,Free
359,2025-10-15,Organic,iOS,USA,35-44,Premium
360,2025-02-24,Google Ads,Android,UK,35-44,Premium
361,2024-05-21,Google Ads,iOS,India,45+,Free
362,2024-03-21,YouTube,iOS,India,35-44,Premium
363,2024-06-24,Instagram,Android,Canada,18-24,Premium
364,2024-12-15,Google Ads,Android,Canada,18-24,Free
365,2024-11-06,YouTube,iOS,India,35-44,Free
366,2024-01-23,Organic,Android,India,45+,Free
367,2024-06-07,Instagram,Android,UK,18-24,Premium
368,2024-09-02,Google Ads,Android,India,35-44,Premium
369,2024-03-30,Instagram,Web,Canada,35-44,Free
370,2025-02-17,Instagram,Web,UK,25-34,Free
371,2024-01-26,Referral,iOS,Canada,35-44,Free
372,2024-07-23,Organic,Android,USA,25-34,Free
373,2024-10-07,Referral,iOS,USA,45+,Free
374,2025-05-27,Instagram,Android,India,45+,Free
375,2025-06-21,YouTube,Android,Canada,45+,Free
376,2024-08-17,YouTube,Android,UK,25-34,Free
377,2025-12-16,Instagram,Android,USA,25-34,Premium
378,2024-08-24,Instagram,Web,India,18-24,Free
379,2024-09-17,YouTube,iOS,Canada,35-44,Free
380,2025-03-16,Instagram,Android,India,35-44,Free
381,2025-04-30,Instagram,iOS,Canada,25-34,Free
382,2024-06-05,Google Ads,Android,Canada,18-24,Premium
383,2025-12-17,Google Ads,Android,Canada,35-44,Free
384,2024-11-12,Organic,Android,India,45+,Free
385,2025-10-04,Google Ads,Web,UK,45+,Premium
386,2024-12-19,Instagram,iOS,USA,25-34,Free
387,2025-11-04,YouTube,iOS,USA,45+,Free
388,2024-05-22,Google Ads,Android,USA,35-44,Free
389,2025-03-06,Referral,Android,USA,25-34,Premium
390,2025-09-04,Instagram,Web,India,35-44,Free
391,2024-04-21,YouTube,Android,India,18-24,Free
392,2025-01-13,Google Ads,Web,India,18-24,Free
393,2025-04-21,YouTube,Android,USA,18-24,Free
394,2024-04-07,YouTube,iOS,UK,45+,Free
395,2025-07-29,Organic,Web,UK,25-34,Free
396,2025-08-01,Instagram,Web,USA,18-24,Free
397,2025-06-08,Referral,iOS,India,35-44,Free
398,2024-06-24,Instagram,iOS,USA,25-34,Free
399,2024-07-29,Organic,iOS,India,18-24,Free
400,2025-05-31,Organic,iOS,India,45+,Premium
401,2025-11-06,YouTube,Web,UK,45+,Free
402,2025-10-15,Referral,Android,UK,35-44,Free
403,2024-05-13,Organic,Android,India,35-44,Free
404,2024-04-25,YouTube,Web,UK,18-24,Free
405,2025-10-30,Organic,iOS,Canada,25-34,Premium
406,2025-12-30,Referral,Android,Canada,35-44,Free
407,2025-02-28,Referral,Android,USA,35-44,Premium
408,2025-12-02,Google Ads,Android,USA,45+,Premium
409,2025-01-28,Referral,Android,India,25-34,Free
410,2024-01-24,Organic,Web,India,18-24,Premium
411,2024-07-11,Instagram,Android,UK,25-34,Free
412,2025-04-29,Organic,iOS,India,45+,Premium
413,2024-03-09,Instagram,Android,India,25-34,Free
414,2025-09-19,Organic,Android,UK,35-44,Free
415,2024-08-03,Organic,Web,UK,35-44,Free
416,2025-01-17,Instagram,Android,India,45+,Free
417,2025-03-07,YouTube,Android,Canada,18-24,Free
418,2025-02-15,Referral,Web,USA,35-44,Premium
419,2025-10-30,Organic,Android,UK,35-44,Premium
420,2024-06-14,Instagram,Android,UK,35-44,Free
421,2024-05-29,Google Ads,Android,USA,25-34,Free
422,2024-12-27,YouTube,Android,India,35-44,Free
423,2024-04-29,Instagram,Android,India,18-24,Free
424,2024-06-20,YouTube,Android,Canada,35-44,Free
425,2024-02-22,Referral,iOS,Canada,25-34,Free
426,2024-10-09,YouTube,Android,Canada,45+,Free
427,2025-01-24,YouTube,Android,USA,25-34,Free
428,2025-02-06,Google Ads,Web,USA,45+,Premium
429,2024-04-03,YouTube,Android,India,35-44,Free
430,2024-12-25,Organic,Web,Canada,35-44,Free
431,2025-03-29,Google Ads,Web,Canada,25-34,Free
432,2024-05-26,Instagram,iOS,USA,25-34,Free
433,2025-12-08,Instagram,Android,UK,18-24,Free
434,2025-03-26,YouTube,Web,USA,25-34,Free
435,2025-06-09,Google Ads,Android,UK,25-34,Free
436,2024-09-07,Google Ads,iOS,USA,35-44,Free
437,2024-09-30,Organic,iOS,UK,35-44,Free
438,2024-06-24,Google Ads,Android,India,35-44,Free
439,2024-09-28,Instagram,Android,India,18-24,Premium
440,2025-02-25,Instagram,Web,USA,45+,Free
441,2024-01-28,Organic,Android,USA,45+,Free
442,2024-04-05,Organic,Web,India,18-24,Free
443,2024-11-17,Referral,Android,UK,35-44,Premium
444,2025-12-30,Referral,Web,UK,25-34,Free
445,2024-01-04,Google Ads,iOS,UK,25-34,Free
446,2024-07-12,YouTube,Web,USA,45+,Free
447,2024-06-25,Referral,iOS,UK,45+,Free
448,2024-09-22,YouTube,Android,India,25-34,Premium
449,2024-03-24,Google Ads,Android,Canada,45+,Free
450,2024-11-09,Referral,Android,India,35-44,Free
451,2025-07-17,Instagram,iOS,India,45+,Free
452,2024-11-19,Referral,iOS,India,18-24,Free
453,2024-11-15,Organic,iOS,Canada,45+,Free
454,2025-09-04,Google Ads,iOS,UK,18-24,Premium
455,2024-04-29,Referral,Web,India,45+,Premium
456,2025-10-07,Referral,Web,Canada,18-24,Free
457,2024-04-12,Google Ads,iOS,UK,35-44,Free
458,2024-09-07,YouTube,Web,USA,18-24,Free
459,2024-12-11,Instagram,Android,Canada,45+,Premium
460,2025-06-17,YouTube,iOS,India,25-34,Free
461,2025-03-27,Instagram,Android,USA,18-24,Free
462,2024-06-12,YouTube,Android,UK,25-34,Free
463,2024-11-13,Instagram,Android,UK,45+,Free
464,2024-11-25,Organic,Android,Canada,45+,Free
465,2025-10-04,Google Ads,Android,USA,25-34,Premium
466,2025-08-09,Organic,iOS,UK,45+,Premium
467,2025-10-18,Organic,Android,UK,18-24,Premium
468,2025-06-25,Instagram,Android,USA,35-44,Premium
469,2025-12-18,Referral,iOS,UK,35-44,Free
470,2024-02-25,YouTube,Android,UK,18-24,Free
471,2025-12-11,Google Ads,Android,USA,45+,Free
472,2024-11-18,Referral,Android,India,18-24,Free
473,2025-06-25,Google Ads,Android,UK,45+,Free
474,2024-06-28,Instagram,Android,UK,35-44,Premium
475,2025-06-07,Referral,iOS,USA,35-44,Free
476,2025-01-10,Instagram,Android,UK,25-34,Free
477,2025-12-05,Organic,iOS,Canada,25-34,Free
478,2024-12-01,Instagram,iOS,Canada,18-24,Free
479,2025-09-06,YouTube,iOS,USA,35-44,Free
480,2024-12-16,Referral,Android,USA,45+,Free
481,2024-04-12,YouTube,Android,UK,45+,Premium
482,2025-05-05,Referral,iOS,Canada,18-24,Free
483,2025-08-14,YouTube,iOS,India,18-24,Free
484,2025-08-28,Instagram,iOS,USA,35-44,Free
485,2025-05-03,Instagram,Web,Canada,35-44,Free
486,2025-03-09,Google Ads,Android,USA,18-24,Free
487,2024-06-15,Referral,iOS,USA,45+,Free
488,2024-11-27,Referral,Android,UK,18-24,Premium
489,2024-03-12,YouTube,Web,Canada,25-34,Free
490,2025-02-18,Organic,iOS,USA,35-44,Free
491,2025-07-11,Google Ads,iOS,Canada,35-44,Free
492,2025-02-27,Instagram,Web,Canada,25-34,Free
493,2025-01-30,Organic,Android,UK,45+,Free
494,2025-06-19,Organic,iOS,USA,45+,Free
495,2025-09-25,Organic,Android,Canada,45+,Free
496,2024-02-21,Google Ads,Android,Canada,18-24,Free
497,2025-06-25,YouTube,Web,UK,45+,Free
498,2025-03-26,Google Ads,Android,USA,18-24,Free
499,2025-09-10,Google Ads,iOS,Canada,18-24,Free
500,2024-09-05,Referral,iOS,USA,25-34,Premium
501,2025-08-23,Organic,iOS,Canada,18-24,Free
502,2025-04-18,Organic,Android,Canada,35-44,Free
503,2024-03-22,Instagram,Android,UK,18-24,Premium
504,2025-12-06,Instagram,iOS,UK,25-34,Free
505,2024-12-06,YouTube,Android,USA,25-34,Free
506,2025-01-23,Organic,iOS,USA,18-24,Free
507,2024-02-12,YouTube,Android,India,18-24,Premium
508,2025-07-21,YouTube,Android,USA,18-24,Free
509,2025-04-27,Instagram,iOS,India,18-24,Free
510,2024-02-09,Google Ads,Android,UK,25-34,Free
511,2024-02-23,Referral,Web,USA,35-44,Free
512,2025-05-31,Organic,iOS,Canada,35-44,Free
513,2025-12-23,Google Ads,Web,Canada,35-44,Free
514,2024-07-13,Referral,iOS,Canada,35-44,Free
